"Ich bin mit der Teilnahme am 5DCR-Test einverstanden. (n = 11)";"Answer";"Count";"%";"Value";""
"";"Ich stimme zu.";"11";"100";"1";""
"";"Ich nehme nicht teil.";"0";"0";"2";""
"";"";"";"";"";""
"";"Average";"";"";"1";""
"";"Standard Deviation";"";"";"0";""
"";"";"";"";"";""
"Wie sehr sind Sie daran interessiert, neue Dinge zu erkunden? (n = 10)";"Row";"Answer";"Count";"%";"Value"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft nicht zu";"0";"0";"2"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"triff eher nicht zu";"0";"0";"3"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"weder noch";"0";"0";"4"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft eher zu";"3";"30";"5"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft zu";"4";"40";"6"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft voll und ganz zu";"3";"30";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"6"
"";"";"Standard Deviation";"";"";"0.77"
"";"";"";"";"";""
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft nicht zu";"0";"0";"2"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"triff eher nicht zu";"2";"20";"3"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"weder noch";"0";"0";"4"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft eher zu";"3";"30";"5"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft zu";"5";"50";"6"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.1"
"";"";"Standard Deviation";"";"";"1.14"
"";"";"";"";"";""
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft gar nicht zu";"0";"0";"1"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft nicht zu";"0";"0";"2"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"triff eher nicht zu";"0";"0";"3"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"weder noch";"0";"0";"4"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft eher zu";"3";"30";"5"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft zu";"4";"40";"6"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft voll und ganz zu";"3";"30";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"6"
"";"";"Standard Deviation";"";"";"0.77"
"";"";"";"";"";""
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft nicht zu";"0";"0";"2"
"";"Ich finde es faszinierend, Neues zu lernen.";"triff eher nicht zu";"0";"0";"3"
"";"Ich finde es faszinierend, Neues zu lernen.";"weder noch";"0";"0";"4"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft eher zu";"2";"20";"5"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft zu";"2";"20";"6"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft voll und ganz zu";"6";"60";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"6.4"
"";"";"Standard Deviation";"";"";"0.8"
"";"";"";"";"";""
"Wie stark beeinträchtigt es Sie, keine Lösungen für Probleme zu finden? (n = 10)";"Row";"Answer";"Count";"%";"Value"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft gar nicht zu";"1";"10";"1"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft nicht zu";"0";"0";"2"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"triff eher nicht zu";"2";"20";"3"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"weder noch";"1";"10";"4"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft eher zu";"4";"40";"5"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft zu";"2";"20";"6"
"";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.3"
"";"";"Standard Deviation";"";"";"1.49"
"";"";"";"";"";""
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft gar nicht zu";"1";"10";"1"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft nicht zu";"1";"10";"2"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"triff eher nicht zu";"1";"10";"3"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"weder noch";"2";"20";"4"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft eher zu";"3";"30";"5"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft zu";"2";"20";"6"
"";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.1"
"";"";"Standard Deviation";"";"";"1.58"
"";"";"";"";"";""
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft gar nicht zu";"0";"0";"1"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft nicht zu";"1";"10";"2"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"triff eher nicht zu";"2";"20";"3"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"weder noch";"2";"20";"4"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft eher zu";"2";"20";"5"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft zu";"2";"20";"6"
"";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"trifft voll und ganz zu";"1";"10";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.5"
"";"";"Standard Deviation";"";"";"1.5"
"";"";"";"";"";""
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft nicht zu";"0";"0";"2"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"triff eher nicht zu";"1";"10";"3"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"weder noch";"5";"50";"4"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft eher zu";"1";"10";"5"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft zu";"1";"10";"6"
"";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"trifft voll und ganz zu";"2";"20";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.8"
"";"";"Standard Deviation";"";"";"1.33"
"";"";"";"";"";""
"Wie gut können Sie mit stressigen und ungewissen Situationen umgehen? (n = 10)";"Row";"Answer";"Count";"%";"Value"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft gar nicht zu";"2";"20";"1"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft nicht zu";"4";"40";"2"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"triff eher nicht zu";"2";"20";"3"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"weder noch";"0";"0";"4"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft eher zu";"1";"10";"5"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft zu";"1";"10";"6"
"";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"2.7"
"";"";"Standard Deviation";"";"";"1.55"
"";"";"";"";"";""
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft gar nicht zu";"3";"30";"1"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft nicht zu";"5";"50";"2"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"triff eher nicht zu";"1";"10";"3"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"weder noch";"0";"0";"4"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft eher zu";"1";"10";"5"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft zu";"0";"0";"6"
"";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"2.1"
"";"";"Standard Deviation";"";"";"1.14"
"";"";"";"";"";""
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft gar nicht zu";"3";"30";"1"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft nicht zu";"3";"30";"2"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"triff eher nicht zu";"2";"20";"3"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"weder noch";"1";"10";"4"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft eher zu";"1";"10";"5"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft zu";"0";"0";"6"
"";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"2.4"
"";"";"Standard Deviation";"";"";"1.28"
"";"";"";"";"";""
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft gar nicht zu";"2";"20";"1"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft nicht zu";"4";"40";"2"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"triff eher nicht zu";"1";"10";"3"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"weder noch";"1";"10";"4"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft eher zu";"1";"10";"5"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft zu";"1";"10";"6"
"";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"2.8"
"";"";"Standard Deviation";"";"";"1.6"
"";"";"";"";"";""
"Wie neugierig sind Sie darauf, allgemeine Informationen über andere Menschen zu erfahren? (n = 10)";"Row";"Answer";"Count";"%";"Value"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft nicht zu";"0";"0";"2"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"triff eher nicht zu";"1";"10";"3"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"weder noch";"1";"10";"4"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft eher zu";"3";"30";"5"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft zu";"1";"10";"6"
"";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"trifft voll und ganz zu";"4";"40";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.6"
"";"";"Standard Deviation";"";"";"1.36"
"";"";"";"";"";""
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft nicht zu";"0";"0";"2"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"triff eher nicht zu";"2";"20";"3"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"weder noch";"2";"20";"4"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft eher zu";"2";"20";"5"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft zu";"3";"30";"6"
"";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"trifft voll und ganz zu";"1";"10";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.9"
"";"";"Standard Deviation";"";"";"1.3"
"";"";"";"";"";""
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft gar nicht zu";"0";"0";"1"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft nicht zu";"0";"0";"2"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"triff eher nicht zu";"1";"10";"3"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"weder noch";"0";"0";"4"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft eher zu";"5";"50";"5"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft zu";"2";"20";"6"
"";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"trifft voll und ganz zu";"2";"20";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.4"
"";"";"Standard Deviation";"";"";"1.11"
"";"";"";"";"";""
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft gar nicht zu";"0";"0";"1"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft nicht zu";"0";"0";"2"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"triff eher nicht zu";"0";"0";"3"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"weder noch";"2";"20";"4"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft eher zu";"4";"40";"5"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft zu";"3";"30";"6"
"";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"trifft voll und ganz zu";"1";"10";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.3"
"";"";"Standard Deviation";"";"";"0.9"
"";"";"";"";"";""
"Wie sehr interessiert es Sie, spezifische und persönliche Informationen über andere Menschen zu erfahren? (n = 10)";"Row";"Answer";"Count";"%";"Value"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft gar nicht zu";"0";"0";"1"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft nicht zu";"0";"0";"2"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"triff eher nicht zu";"1";"10";"3"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"weder noch";"0";"0";"4"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft eher zu";"4";"40";"5"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft zu";"2";"20";"6"
"";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"trifft voll und ganz zu";"3";"30";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.6"
"";"";"Standard Deviation";"";"";"1.2"
"";"";"";"";"";""
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft gar nicht zu";"0";"0";"1"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft nicht zu";"0";"0";"2"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"triff eher nicht zu";"2";"20";"3"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"weder noch";"0";"0";"4"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft eher zu";"3";"30";"5"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft zu";"3";"30";"6"
"";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"trifft voll und ganz zu";"2";"20";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.3"
"";"";"Standard Deviation";"";"";"1.35"
"";"";"";"";"";""
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft gar nicht zu";"0";"0";"1"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft nicht zu";"0";"0";"2"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"triff eher nicht zu";"3";"30";"3"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"weder noch";"0";"0";"4"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft eher zu";"4";"40";"5"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft zu";"3";"30";"6"
"";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.7"
"";"";"Standard Deviation";"";"";"1.19"
"";"";"";"";"";""
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft nicht zu";"3";"30";"2"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"triff eher nicht zu";"2";"20";"3"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"weder noch";"0";"0";"4"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft eher zu";"4";"40";"5"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft zu";"1";"10";"6"
"";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"3.8"
"";"";"Standard Deviation";"";"";"1.47"
"";"";"";"";"";""
"Wie sehr suchen Sie nach aufregenden und riskanten Erlebnissen? (n = 10)";"Row";"Answer";"Count";"%";"Value"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft nicht zu";"3";"30";"2"
"";"Ich finde es aufregend, Risiken einzugehen.";"triff eher nicht zu";"1";"10";"3"
"";"Ich finde es aufregend, Risiken einzugehen.";"weder noch";"2";"20";"4"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft eher zu";"3";"30";"5"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft zu";"1";"10";"6"
"";"Ich finde es aufregend, Risiken einzugehen.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"3.8"
"";"";"Standard Deviation";"";"";"1.4"
"";"";"";"";"";""
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft gar nicht zu";"1";"10";"1"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft nicht zu";"1";"10";"2"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"triff eher nicht zu";"3";"30";"3"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"weder noch";"2";"20";"4"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft eher zu";"0";"0";"5"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft zu";"1";"10";"6"
"";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"trifft voll und ganz zu";"2";"20";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4"
"";"";"Standard Deviation";"";"";"1.95"
"";"";"";"";"";""
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft gar nicht zu";"0";"0";"1"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft nicht zu";"1";"10";"2"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"triff eher nicht zu";"3";"30";"3"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"weder noch";"1";"10";"4"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft eher zu";"2";"20";"5"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft zu";"2";"20";"6"
"";"Spontane Abenteuer reizen mich viel mehr als geplante.";"trifft voll und ganz zu";"1";"10";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"4.4"
"";"";"Standard Deviation";"";"";"1.56"
"";"";"";"";"";""
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft gar nicht zu";"1";"10";"1"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft nicht zu";"1";"10";"2"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"triff eher nicht zu";"3";"30";"3"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"weder noch";"1";"10";"4"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft eher zu";"4";"40";"5"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft zu";"0";"0";"6"
"";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"3.6"
"";"";"Standard Deviation";"";"";"1.36"
